lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
129.547985,-25.853592,696.6,-34.281,3.00,16707.4,253291.5
129.429646,-25.857423,671.8,-30.934,3.00,16281.4,241465.0
129.337987,-25.845264,656.4,-34.437,3.00,17633.5,232304.7
129.254647,-25.846925,646.1,-33.987,3.00,17448.8,223975.9
129.151318,-25.846926,634.9,-36.385,3.00,17448.6,213649.4
129.052989,-25.855267,631.4,-38.919,3.00,16521.2,203822.6
129.029650,-25.938597,646.2,-39.053,3.00,7255.3,201490.1
129.152989,-25.936926,664.6,-30.863,3.00,7441.1,213816.4
129.262988,-25.940265,670.4,-27.015,3.00,7069.8,224809.5
129.346318,-25.948595,697.0,-28.758,3.00,6143.6,233137.3
129.456317,-25.968594,715.4,-33.238,3.00,3919.8,244130.4
129.502987,-26.008593,700.5,-33.107,3.00,-527.9,248794.5
129.547986,-25.945263,706.7,-40.664,3.00,6514.1,253291.6
129.757985,-25.951921,707.7,-42.635,3.00,5773.7,274278.5
129.842984,-25.950260,715.6,-38.605,3.00,5958.4,282773.2
129.959643,-25.948589,747.6,-39.253,3.00,6144.2,294431.8
130.001314,-25.998589,784.9,-45.191,3.00,584.5,298596.4
130.044643,-25.948588,771.4,-42.494,3.00,6144.3,302926.6
130.154642,-25.946917,715.4,-61.480,3.00,6330.2,313919.7
130.256311,-25.948586,680.5,-74.898,3.00,6144.6,324080.3
130.366310,-25.956915,657.8,-99.067,3.00,5218.4,335073.3
130.451310,-25.950255,644.9,-107.639,3.00,5959.0,343568.1
130.497980,-25.991914,638.4,-109.720,3.00,1326.7,348232.2
129.852981,-25.645259,694.6,-35.228,3.00,39873.0,283772.2
129.644645,-25.930262,700.5,-38.922,3.00,8182.1,262951.5
130.747973,-25.561910,603.6,-105.846,3.00,49141.0,373216.0
130.546306,-25.651912,662.4,-104.757,3.00,39133.2,353061.8
130.656305,-25.653581,663.5,-109.675,3.00,38947.6,364054.9
130.731304,-25.648581,626.4,-114.610,3.00,39503.6,371550.1
130.859633,-25.649410,615.9,-116.157,3.00,39411.4,384375.1
