iter	half_c1	half_c2	half_best	prior_c1	prior_c2	prior_best
228	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
229	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
230	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
231	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
232	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
233	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
234	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
235	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
236	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
237	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
238	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
239	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
240	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
241	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
242	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
243	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
244	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
245	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
246	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
247	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
248	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
249	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
250	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
251	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
252	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
253	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
254	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
255	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
256	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
257	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
258	1.156824	1.173973	1.156824	0.959978	0.920416	0.920416
259	1.156824	1.173973	1.156824	0.959978	0.920416	0.920416
260	1.156824	1.173973	1.156824	0.959978	0.920416	0.920416
261	1.156824	1.172591	1.156824	0.959978	0.920416	0.920416
262	1.156824	1.172591	1.156824	0.959978	0.920416	0.920416
263	1.153800	1.171580	1.153800	0.959978	0.920416	0.920416
264	1.151440	1.171576	1.151440	0.959978	0.920416	0.920416
265	1.151440	1.171576	1.151440	0.959978	0.920416	0.920416
266	1.147151	1.171576	1.147151	0.959978	0.920416	0.920416
267	1.147151	1.171576	1.147151	0.959978	0.920416	0.920416
268	1.147151	1.171576	1.147151	0.959978	0.920416	0.920416
269	1.147151	1.169637	1.147151	0.959978	0.920416	0.920416
270	1.147151	1.169637	1.147151	0.959978	0.920416	0.920416
271	1.147151	1.169637	1.147151	0.959978	0.920416	0.920416
272	1.147151	1.169637	1.147151	0.959978	0.920416	0.920416
273	1.147151	1.164030	1.147151	0.959978	0.920416	0.920416
274	1.147151	1.163054	1.147151	0.959978	0.920416	0.920416
275	1.145600	1.154390	1.145600	0.959978	0.920416	0.920416
276	1.140700	1.154390	1.140700	0.959978	0.920416	0.920416
277	1.140700	1.154390	1.140700	0.959978	0.920416	0.920416
278	1.140700	1.154390	1.140700	0.959978	0.920416	0.920416
279	1.140017	1.154390	1.140017	0.959978	0.920416	0.920416
280	1.140017	1.154390	1.140017	0.959978	0.920416	0.920416
281	1.140017	1.154390	1.140017	0.959978	0.920416	0.920416
282	1.140017	1.154390	1.140017	0.959978	0.920416	0.920416
283	1.140017	1.154390	1.140017	0.959978	0.920416	0.920416
284	1.135371	1.154390	1.135371	0.959978	0.920416	0.920416
285	1.134404	1.154390	1.134404	0.959978	0.920416	0.920416
286	1.134404	1.145232	1.134404	0.959978	0.920416	0.920416
287	1.134404	1.145232	1.134404	0.959978	0.920416	0.920416
288	1.134404	1.145232	1.134404	0.959978	0.920416	0.920416
289	1.134404	1.143469	1.134404	0.959978	0.920416	0.920416
290	1.134234	1.143469	1.134234	0.959978	0.920416	0.920416
291	1.134234	1.143469	1.134234	0.959978	0.920416	0.920416
292	1.134234	1.143469	1.134234	0.959978	0.920416	0.920416
293	1.134234	1.138088	1.134234	0.959978	0.920416	0.920416
294	1.134234	1.138088	1.134234	0.959978	0.920416	0.920416
295	1.134234	1.138088	1.134234	0.959978	0.920416	0.920416
296	1.133662	1.132311	1.132311	0.959978	0.920416	0.920416
297	1.133662	1.132311	1.132311	0.959978	0.920416	0.920416
298	1.133662	1.129898	1.129898	0.959978	0.920416	0.920416
299	1.130563	1.129898	1.129898	0.959978	0.920416	0.920416
300	1.128437	1.129898	1.128437	0.959978	0.920416	0.920416
301	1.128437	1.124007	1.124007	0.959978	0.920416	0.920416
302	1.123809	1.124007	1.123809	0.959978	0.920416	0.920416
303	1.122980	1.118455	1.118455	0.959978	0.920416	0.920416
304	1.122980	1.116248	1.116248	0.959978	0.920416	0.920416
305	1.122980	1.116062	1.116062	0.959978	0.920416	0.920416
306	1.122980	1.116062	1.116062	0.959978	0.920416	0.920416
307	1.122980	1.108499	1.108499	0.959978	0.920416	0.920416
308	1.122980	1.108499	1.108499	0.959978	0.920416	0.920416
309	1.122677	1.102172	1.102172	0.959978	0.920416	0.920416
310	1.121820	1.097261	1.097261	0.959978	0.920416	0.920416
311	1.119998	1.093741	1.093741	0.959978	0.920416	0.920416
312	1.119998	1.092514	1.092514	0.959978	0.920416	0.920416
313	1.117538	1.092514	1.092514	0.959978	0.920416	0.920416
314	1.115190	1.092514	1.092514	0.959978	0.920416	0.920416
315	1.115190	1.092514	1.092514	0.959978	0.920416	0.920416
316	1.115190	1.092514	1.092514	0.959978	0.920416	0.920416
317	1.115190	1.092514	1.092514	0.959978	0.920416	0.920416
318	1.113975	1.092514	1.092514	0.959978	0.920416	0.920416
319	1.113975	1.092149	1.092149	0.959978	0.920416	0.920416
320	1.106971	1.086398	1.086398	0.959978	0.920416	0.920416
321	1.102792	1.085985	1.085985	0.959978	0.920416	0.920416
322	1.099723	1.085985	1.085985	0.959978	0.920416	0.920416
323	1.099723	1.085985	1.085985	0.959978	0.920416	0.920416
324	1.099723	1.079338	1.079338	0.959978	0.920416	0.920416
325	1.096330	1.077838	1.077838	0.959978	0.920416	0.920416
326	1.096330	1.077838	1.077838	0.959978	0.920416	0.920416
327	1.096330	1.077463	1.077463	0.959978	0.920416	0.920416
328	1.096330	1.077463	1.077463	0.959978	0.920416	0.920416
329	1.096330	1.074829	1.074829	0.959978	0.920416	0.920416
330	1.096330	1.074829	1.074829	0.959978	0.920416	0.920416
331	1.090460	1.074829	1.074829	0.959978	0.920416	0.920416
332	1.090460	1.066664	1.066664	0.959978	0.920416	0.920416
333	1.090460	1.066664	1.066664	0.959978	0.920416	0.920416
334	1.089875	1.066664	1.066664	0.959978	0.920416	0.920416
335	1.089875	1.066664	1.066664	0.959978	0.920416	0.920416
336	1.089875	1.066194	1.066194	0.959978	0.920416	0.920416
337	1.089875	1.066194	1.066194	0.959978	0.920416	0.920416
338	1.089857	1.057844	1.057844	0.959978	0.920416	0.920416
339	1.086740	1.057844	1.057844	0.959978	0.920416	0.920416
340	1.086740	1.057844	1.057844	0.959978	0.920416	0.920416
341	1.086740	1.052812	1.052812	0.959978	0.920416	0.920416
342	1.083756	1.050842	1.050842	0.959978	0.920416	0.920416
343	1.078277	1.050842	1.050842	0.959978	0.920416	0.920416
344	1.074336	1.050842	1.050842	0.959978	0.920416	0.920416
345	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
346	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
347	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
348	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
349	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
350	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
351	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
352	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
353	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
354	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
355	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
356	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
357	1.074000	1.049406	1.049406	0.959978	0.920416	0.920416
358	1.074000	1.049353	1.049353	0.959978	0.920416	0.920416
359	1.074000	1.049353	1.049353	0.959978	0.920416	0.920416
360	1.074000	1.049353	1.049353	0.959978	0.920416	0.920416
361	1.072484	1.049353	1.049353	0.959978	0.920416	0.920416
362	1.072484	1.049353	1.049353	0.959978	0.920416	0.920416
363	1.072484	1.049353	1.049353	0.959978	0.920416	0.920416
364	1.071506	1.049353	1.049353	0.959978	0.920416	0.920416
365	1.071506	1.049353	1.049353	0.959978	0.920416	0.920416
366	1.071506	1.049353	1.049353	0.959978	0.920416	0.920416
367	1.071506	1.046136	1.046136	0.959978	0.920416	0.920416
368	1.071506	1.046136	1.046136	0.959978	0.920416	0.920416
369	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
370	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
371	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
372	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
373	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
374	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
375	1.071506	1.045922	1.045922	0.959978	0.920416	0.920416
376	1.071506	1.043565	1.043565	0.959978	0.920416	0.920416
377	1.071506	1.043565	1.043565	0.959978	0.920416	0.920416
378	1.064226	1.043565	1.043565	0.959978	0.920416	0.920416
379	1.064226	1.043565	1.043565	0.959978	0.920416	0.920416
380	1.064226	1.043565	1.043565	0.959978	0.920416	0.920416
381	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
382	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
383	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
384	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
385	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
386	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
387	1.062211	1.043565	1.043565	0.959978	0.920416	0.920416
388	1.060025	1.043565	1.043565	0.959978	0.920416	0.920416
389	1.060025	1.043565	1.043565	0.959978	0.920416	0.920416
390	1.060025	1.043565	1.043565	0.959978	0.920416	0.920416
391	1.060025	1.043565	1.043565	0.959978	0.920416	0.920416
392	1.060025	1.043565	1.043565	0.959978	0.920416	0.920416
393	1.052102	1.043565	1.043565	0.959978	0.920416	0.920416
394	1.049335	1.043565	1.043565	0.959978	0.920416	0.920416
395	1.049335	1.043565	1.043565	0.959978	0.920416	0.920416
396	1.046652	1.043565	1.043565	0.959978	0.920416	0.920416
397	1.046652	1.043565	1.043565	0.959978	0.920416	0.920416
398	1.046652	1.043565	1.043565	0.959978	0.920416	0.920416
399	1.041581	1.043565	1.041581	0.959978	0.920416	0.920416
400	1.041581	1.040211	1.040211	0.959978	0.920416	0.920416
