# VFSA 2D iteration best - 2026-09-15 00:25:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1      110       0.3897     47443.6134     702.5349      7.51535     7.51535   46741.0785     7.45950      1 chain_01/itr_00110_trial_01.rho
     1      111       0.3864     46077.1496   -1366.4639      7.40633     7.40633   46077.1496     7.40633      1 chain_01/itr_00111_trial_01.rho
     1      112        0.383     44165.0523   -1912.0973      7.25103     7.25103   44165.0523     7.25103      1 chain_01/itr_00112_trial_01.rho
     1      113       0.3797     43939.9616    -225.0907      7.23253     7.23253   43939.9616     7.23253      1 chain_01/itr_00113_trial_01.rho
     1      114       0.3765     45578.0178    1638.0562      7.36611     7.36611   43939.9616     7.23253      1 chain_01/itr_00114_trial_01.rho
     1      115       0.3732     42721.2735   -2856.7442      7.13153     7.13153   42721.2735     7.13153      1 chain_01/itr_00115_trial_01.rho
     1      116         0.37     44574.6770    1853.4035      7.28458     7.28458   42721.2735     7.13153      1 chain_01/itr_00116_trial_01.rho
     1      117       0.3668     49002.3492    4427.6722      7.63781     7.63781   42721.2735     7.13153      1 chain_01/itr_00117_trial_01.rho
     1      118       0.3637     47946.9079   -1055.4413      7.55511     7.55511   42721.2735     7.13153      1 chain_01/itr_00118_trial_01.rho
     1      119       0.3605     49065.2502    1118.3422      7.64271     7.64271   42721.2735     7.13153      1 chain_01/itr_00119_trial_01.rho
     1      120       0.3574     48773.2440    -292.0061      7.61993     7.61993   42721.2735     7.13153      1 chain_01/itr_00120_trial_01.rho
     1      121       0.3544     50508.2433    1734.9993      7.75428     7.75428   42721.2735     7.13153      1 chain_01/itr_00121_trial_01.rho
     1      122       0.3513     46993.6897   -3514.5536      7.47963     7.47963   42721.2735     7.13153      1 chain_01/itr_00122_trial_01.rho
     1      123       0.3483     46084.9578    -908.7319      7.40696     7.40696   42721.2735     7.13153      1 chain_01/itr_00123_trial_01.rho
     1      124       0.3453     47088.7354    1003.7776      7.48719     7.48719   42721.2735     7.13153      1 chain_01/itr_00124_trial_01.rho
     1      125       0.3423     45938.8090   -1149.9264      7.39521     7.39521   42721.2735     7.13153      1 chain_01/itr_00125_trial_01.rho
     1      126       0.3394     47798.1591    1859.3501      7.54338     7.54338   42721.2735     7.13153      1 chain_01/itr_00126_trial_01.rho
     1      127       0.3364     45573.8622   -2224.2969      7.36577     7.36577   42721.2735     7.13153      1 chain_01/itr_00127_trial_01.rho
     1      128       0.3335     45097.3328    -476.5294      7.32716     7.32716   42721.2735     7.13153      1 chain_01/itr_00128_trial_01.rho
     1      129       0.3307     43446.7780   -1650.5548      7.19183     7.19183   42721.2735     7.13153      1 chain_01/itr_00129_trial_01.rho
     1      130       0.3278     42842.8155    -603.9625      7.14166     7.14166   42721.2735     7.13153      1 chain_01/itr_00130_trial_01.rho
     1      131        0.325     43409.7590     566.9435      7.18876     7.18876   42721.2735     7.13153      1 chain_01/itr_00131_trial_01.rho
     1      132       0.3222     43458.3029      48.5439      7.19278     7.19278   42721.2735     7.13153      1 chain_01/itr_00132_trial_01.rho
     1      133       0.3194     43282.7252    -175.5777      7.17823     7.17823   42721.2735     7.13153      1 chain_01/itr_00133_trial_01.rho
     1      134       0.3167     43274.5925      -8.1327      7.17756     7.17756   42721.2735     7.13153      1 chain_01/itr_00134_trial_01.rho
     1      135        0.314     44279.9244    1005.3320      7.26045     7.26045   42721.2735     7.13153      1 chain_01/itr_00135_trial_01.rho
     1      136       0.3113     44279.9244       0.0000      7.26045     7.26045   42721.2735     7.13153      0 -
     1      137       0.3086     47332.2814    3052.3570      7.50653     7.50653   42721.2735     7.13153      1 chain_01/itr_00137_trial_01.rho
     1      138       0.3059     46599.5747    -732.7067      7.44820     7.44820   42721.2735     7.13153      1 chain_01/itr_00138_trial_01.rho
     1      139       0.3033     46592.5636      -7.0111      7.44764     7.44764   42721.2735     7.13153      1 chain_01/itr_00139_trial_01.rho
     1      140       0.3007     46229.1740    -363.3896      7.41854     7.41854   42721.2735     7.13153      1 chain_01/itr_00140_trial_01.rho
     1      141       0.2981     46229.1740       0.0000      7.41854     7.41854   42721.2735     7.13153      0 -
     1      142       0.2955     47167.8516     938.6776      7.49348     7.49348   42721.2735     7.13153      1 chain_01/itr_00142_trial_01.rho
     1      143        0.293     47167.8516       0.0000      7.49348     7.49348   42721.2735     7.13153      0 -
     1      144       0.2905     47323.8949     156.0433      7.50586     7.50586   42721.2735     7.13153      1 chain_01/itr_00144_trial_01.rho
     1      145        0.288     47132.1672    -191.7278      7.49064     7.49064   42721.2735     7.13153      1 chain_01/itr_00145_trial_01.rho
     1      146       0.2855     44981.9698   -2150.1974      7.31778     7.31778   42721.2735     7.13153      1 chain_01/itr_00146_trial_01.rho
     1      147        0.283     45877.8826     895.9129      7.39030     7.39030   42721.2735     7.13153      1 chain_01/itr_00147_trial_01.rho
     1      148       0.2806     45680.0891    -197.7935      7.37435     7.37435   42721.2735     7.13153      1 chain_01/itr_00148_trial_01.rho
     1      149       0.2782     45680.0891       0.0000      7.37435     7.37435   42721.2735     7.13153      0 -
     1      150       0.2758     45667.9969     -12.0923      7.37338     7.37338   42721.2735     7.13153      1 chain_01/itr_00150_trial_01.rho
     1      151       0.2734     45230.3201    -437.6768      7.33796     7.33796   42721.2735     7.13153      1 chain_01/itr_00151_trial_01.rho
     1      152        0.271     44260.6284    -969.6917      7.25887     7.25887   42721.2735     7.13153      1 chain_01/itr_00152_trial_01.rho
     1      153       0.2687     45037.2470     776.6186      7.32228     7.32228   42721.2735     7.13153      1 chain_01/itr_00153_trial_01.rho
     1      154       0.2664     42912.9144   -2124.3326      7.14750     7.14750   42721.2735     7.13153      1 chain_01/itr_00154_trial_01.rho
     1      155       0.2641     42166.3375    -746.5769      7.08506     7.08506   42166.3375     7.08506      1 chain_01/itr_00155_trial_01.rho
     1      156       0.2618     43746.1010    1579.7635      7.21656     7.21656   42166.3375     7.08506      1 chain_01/itr_00156_trial_01.rho
     1      157       0.2596     44310.4737     564.3727      7.26296     7.26296   42166.3375     7.08506      1 chain_01/itr_00157_trial_01.rho
     1      158       0.2573     45916.2763    1605.8026      7.39339     7.39339   42166.3375     7.08506      1 chain_01/itr_00158_trial_01.rho
     1      159       0.2551     44590.1094   -1326.1669      7.28584     7.28584   42166.3375     7.08506      1 chain_01/itr_00159_trial_01.rho
     1      160       0.2529     45555.2865     965.1771      7.36427     7.36427   42166.3375     7.08506      1 chain_01/itr_00160_trial_01.rho
     1      161       0.2508     43439.5743   -2115.7122      7.19123     7.19123   42166.3375     7.08506      1 chain_01/itr_00161_trial_01.rho
     1      162       0.2486     44602.9814    1163.4071      7.28689     7.28689   42166.3375     7.08506      1 chain_01/itr_00162_trial_01.rho
     1      163       0.2465     48633.5728    4030.5915      7.60902     7.60902   42166.3375     7.08506      1 chain_01/itr_00163_trial_01.rho
     1      164       0.2443     47339.5530   -1294.0198      7.50710     7.50710   42166.3375     7.08506      1 chain_01/itr_00164_trial_01.rho
     1      165       0.2422     46543.7999    -795.7531      7.44374     7.44374   42166.3375     7.08506      1 chain_01/itr_00165_trial_01.rho
     1      166       0.2401     46645.9727     102.1728      7.45191     7.45191   42166.3375     7.08506      1 chain_01/itr_00166_trial_01.rho
     1      167       0.2381     43757.5266   -2888.4461      7.21750     7.21750   42166.3375     7.08506      1 chain_01/itr_00167_trial_01.rho
     1      168        0.236     44100.8959     343.3693      7.24576     7.24576   42166.3375     7.08506      1 chain_01/itr_00168_trial_01.rho
     1      169        0.234     45280.0531    1179.1572      7.34199     7.34199   42166.3375     7.08506      1 chain_01/itr_00169_trial_01.rho
     1      170        0.232     50257.9779    4977.9248      7.73505     7.73505   42166.3375     7.08506      1 chain_01/itr_00170_trial_01.rho
     1      171         0.23     50410.3920     152.4141      7.74677     7.74677   42166.3375     7.08506      1 chain_01/itr_00171_trial_01.rho
     1      172        0.228     51309.6009     899.2089      7.81555     7.81555   42166.3375     7.08506      1 chain_01/itr_00172_trial_01.rho
     1      173        0.226     56099.6090    4790.0081      8.17222     8.17222   42166.3375     7.08506      1 chain_01/itr_00173_trial_01.rho
     1      174       0.2241     57741.9762    1642.3672      8.29099     8.29099   42166.3375     7.08506      1 chain_01/itr_00174_trial_01.rho
     1      175       0.2222     57741.9762       0.0000      8.29099     8.29099   42166.3375     7.08506      0 -
     1      176       0.2203     61107.7246    3365.7484      8.52920     8.52920   42166.3375     7.08506      1 chain_01/itr_00176_trial_01.rho
     1      177       0.2184     61940.3023     832.5777      8.58711     8.58711   42166.3375     7.08506      1 chain_01/itr_00177_trial_01.rho
     1      178       0.2165     60107.8651   -1832.4372      8.45914     8.45914   42166.3375     7.08506      1 chain_01/itr_00178_trial_01.rho
     1      179       0.2146     59677.2272    -430.6379      8.42878     8.42878   42166.3375     7.08506      1 chain_01/itr_00179_trial_01.rho
     1      180       0.2128     56820.6830   -2856.5442      8.22458     8.22458   42166.3375     7.08506      1 chain_01/itr_00180_trial_01.rho
     1      181       0.2109     55213.3375   -1607.3455      8.10741     8.10741   42166.3375     7.08506      1 chain_01/itr_00181_trial_01.rho
